"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Demonstrates reporting metadata and attachments","98","reportingShowsRichMetadata()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","reportingShowsRichMetadata"
"Demonstrates step-by-step reporting","2","stepsExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","stepsExample"
"","8","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","86","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderUsesSensibleDefaults"
"Demonstrates attachment support","7","attachmentExample()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.reporting.W6D4ReportingInsightsTest","com.ust.sdet.reporting.W6D4ReportingInsightsTest","attachmentExample"
"","5","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","115","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","resetMakesTestsIndependent"
"","79","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"","9","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.W6D3DataBuilderStructureTest","com.ust.sdet.data.W6D3DataBuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"","88","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.data.OrdersDataIT","com.ust.sdet.data.OrdersDataIT","factoryPersistsBuilderData"
